Protein,A0,A1,A2,B0,B2,C0,C2,C3,D0,D2,D3,E0,E1,E2,F0,F1,F2
ICAM-5,7251.75,19594.7,33217.63,14769.51,29476.93,20761.93,15859.38,33266.79,12353.35,14987.3,9354.33,12923.11,35892.8,22116.8,38588.38,39176.82,111469.97
IFN-alpha / beta R1,2828.5,1335.86,9274.27,4166.11,9012.47,6168.44,1532.04,973.73,1525.13,0.96,1.13,1028.2,1.13,289.23,16874.55,25193.86,75539.2
IFN-alpha / beta R2,1336.5,1043.89,914.53,2819.06,1075.11,4346.65,2752.36,860.64,1042.84,823.41,1.13,1531.26,1.13,1.1,19683.37,27920.15,82616.59
IFN-beta,5691.75,13070.46,10762.73,8770.97,8053.77,8307.44,11582.6,4302.03,6705.92,6510.73,5434.51,8207.26,6694.39,1111.11,34299.88,43236.01,84909.12
IFN-gamma,17177.0,24651.46,13725.32,17425.37,1.07,14176.36,22328.65,5036.82,11571.17,16868.39,10761.88,24814.93,27496.73,9011.43,53482.41,55027.32,64295.91
IFN-gamma R1,7221.5,14654.14,12833.88,11293.71,17608.32,9164.0,9746.24,4543.58,9736.57,10643.93,10048.52,10245.78,17510.75,1226.2,35458.7,39418.39,119288.38
IGFBP-1,6880.25,4296.61,24458.22,5440.18,15223.15,6901.04,3391.69,1861.33,1396.21,3364.43,4677.45,1088.46,8012.21,785.17,31186.85,34008.73,224451.27
IGFBP-2,6141.0,7320.94,20305.4,8533.64,17044.39,7651.35,8711.82,6505.53,7736.84,7025.25,9054.04,8066.65,8316.48,2349.45,53507.95,55057.15,191928.49
IGFBP-3,6030.25,15036.54,27041.61,10739.09,22227.37,10433.11,7113.17,12097.07,6014.35,16460.78,10892.15,11889.83,37422.03,8694.87,36024.18,48259.82,33596.93
IGFBP-4,7088.5,8240.82,22804.87,9938.74,17152.01,6816.87,3833.58,4974.77,5142.95,2802.49,4733.84,4196.01,15574.8,1399.51,46181.89,45385.16,76663.31
IGFBP-6,1054.5,904.45,4835.8,2659.83,4082.02,2071.23,0.87,1.16,686.19,0.96,1.13,1922.41,18690.55,1316.44,24185.13,26111.48,30287.34
IGFBP-rp1 / IGFBP-7,1828.5,2044.89,8322.02,4333.5,6433.64,3642.03,4628.99,3739.77,1981.04,1372.59,398.97,2871.36,4869.37,946.07,48984.12,50844.69,89976.41
